file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,"cross/3[demo.convexhull.Point2D,demo.convexhull.Point2D,demo.convexhull.Point2D]",false,17,1,1,1,0,1,0,4,1,4,3,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,10,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,compute/1[java.util.List<demo.convexhull.Point2D>],false,7,2,3,2,1,9,9,22,2,6,1,9,1,1,4,1,0,0,0,14,6,10,2,0,0,0,11,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,ConvexHull/0,true,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\test\java\demo\textnorm\TextNormSmokeTest.java,demo.textnorm.TextNormSmokeTest,relationRuns/0,false,9,9,8,0,8,2,7,8,0,4,0,7,0,0,0,1,0,0,0,2,4,0,0,0,0,0,17,0,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicFunction_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicFunction_textnorm_duplicate,run/1[demo.textnorm.TextGenModel],false,4,4,3,0,3,1,2,5,1,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\permute\MR_Permute_Input.java,demo.convexhull.mr.permute.MR_Permute_Input,apply/1[java.lang.Object],false,9,1,0,0,0,1,1,6,1,2,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,6,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\translate\MR_Translate_Output.java,demo.convexhull.mr.translate.MR_Translate_Output,transform/1[java.lang.Object],false,11,2,1,0,1,1,1,4,1,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,5,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderInputMetamorphosis.java,demo.order.OrderInputMetamorphosis,normalize/1[demo.order.Order],false,7,1,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\rotate\MR_Rotate_Input.java,demo.convexhull.mr.rotate.MR_Rotate_Input,apply/1[java.lang.Object],false,10,2,1,0,1,1,1,4,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextCorpus.java,demo.textnorm.TextCorpus,TextCorpus/1[java.util.List<java.lang.String>],true,10,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
