file,class,method,variable,usage
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicFunction_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicFunction_textnorm_duplicate,run/1[demo.textnorm.TextGenModel],model,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicFunction_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicFunction_textnorm_duplicate,run/1[demo.textnorm.TextGenModel],relation,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\permute\MR_Permute_Input.java,demo.convexhull.mr.permute.MR_Permute_Input,apply/1[java.lang.Object],in,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\permute\MR_Permute_Input.java,demo.convexhull.mr.permute.MR_Permute_Input,apply/1[java.lang.Object],copy,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\permute\MR_Permute_Input.java,demo.convexhull.mr.permute.MR_Permute_Input,apply/1[java.lang.Object],pts,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\translate\MR_Translate_Output.java,demo.convexhull.mr.translate.MR_Translate_Output,transform/1[java.lang.Object],baseOut,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\translate\MR_Translate_Output.java,demo.convexhull.mr.translate.MR_Translate_Output,transform/1[java.lang.Object],h,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderInputMetamorphosis.java,demo.order.OrderInputMetamorphosis,normalize/1[demo.order.Order],o,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\rotate\MR_Rotate_Input.java,demo.convexhull.mr.rotate.MR_Rotate_Input,apply/1[java.lang.Object],in,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\rotate\MR_Rotate_Input.java,demo.convexhull.mr.rotate.MR_Rotate_Input,apply/1[java.lang.Object],pts,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextCorpus.java,demo.textnorm.TextCorpus,TextCorpus/1[java.util.List<java.lang.String>],sentences,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderOutputModelComparer.java,demo.order.OrderOutputModelComparer,"compare/2[java.math.BigDecimal,java.math.BigDecimal]",a,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderOutputModelComparer.java,demo.order.OrderOutputModelComparer,"compare/2[java.math.BigDecimal,java.math.BigDecimal]",b,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,tokenize/1[java.lang.String],s,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,analyze/1[demo.textnorm.TextCorpus],sentence,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,analyze/1[demo.textnorm.TextCorpus],total,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,analyze/1[demo.textnorm.TextCorpus],t,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,analyze/1[demo.textnorm.TextCorpus],normalized,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,analyze/1[demo.textnorm.TextCorpus],freq,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,analyze/1[demo.textnorm.TextCorpus],corpus,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,analyze/1[demo.textnorm.TextCorpus],vocab,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,analyze/1[demo.textnorm.TextCorpus],tokens,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,normalize/1[java.lang.String],s,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullComparer.java,demo.convexhull.HullComparer,"compare/2[java.lang.Object,java.lang.Object]",a,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullComparer.java,demo.convexhull.HullComparer,"compare/2[java.lang.Object,java.lang.Object]",o1,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullComparer.java,demo.convexhull.HullComparer,"compare/2[java.lang.Object,java.lang.Object]",b,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullComparer.java,demo.convexhull.HullComparer,"compare/2[java.lang.Object,java.lang.Object]",o2,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderArtifactEntry.java,demo.order.OrderArtifactEntry,total/1[demo.order.Order],order,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicRelation_order_total.java,mtaas.generated.order_total.MetamorphicRelation_order_total,validate/1[demo.order.Order],input,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicRelation_order_total.java,mtaas.generated.order_total.MetamorphicRelation_order_total,validate/1[demo.order.Order],output1,1
